,district,building_type,heat_source,value
5653,Main-Tauber-Kreis,1,4,0.4182
5654,Main-Tauber-Kreis,11,4,0.2264
5655,Main-Tauber-Kreis,6,2,0.4064
5656,Main-Tauber-Kreis,38,2,0.106
5657,Main-Tauber-Kreis,9,2,0.1458
5658,Main-Tauber-Kreis,1,2,0.4083
5659,Main-Tauber-Kreis,11,2,0.3082
5660,Main-Tauber-Kreis,6,3,0.1784
5661,Main-Tauber-Kreis,38,3,0.0257
5662,Main-Tauber-Kreis,9,3,0.0435
5663,Main-Tauber-Kreis,1,3,0.2052
5664,Main-Tauber-Kreis,11,3,0.0934
5665,Main-Tauber-Kreis,6,1,0.6705
5666,Main-Tauber-Kreis,38,1,0.1603
5667,Main-Tauber-Kreis,9,1,0.3326
5668,Main-Tauber-Kreis,1,1,0.8085
5669,Main-Tauber-Kreis,11,1,0.5262
5670,Heidenheim,100,0,0.707
5671,Heidenheim,100,4,0.3009
5672,Heidenheim,100,2,0.0203
5673,Heidenheim,100,3,0.0097
5674,Heidenheim,100,1,0.6667
5675,Heidenheim,6,0,0.6953
5676,Heidenheim,9,0,0.3867
5677,Heidenheim,11,0,0.5008
5678,Heidenheim,38,0,0.23
5679,Heidenheim,1,0,0.8433
5680,Heidenheim,6,4,0.2923
5681,Heidenheim,9,4,0.1547
5682,Heidenheim,11,4,0.1763
5683,Heidenheim,38,4,0.0937
5684,Heidenheim,1,4,0.3678
5685,Heidenheim,6,2,0.0315
5686,Heidenheim,9,2,0.0036
5687,Heidenheim,11,2,0.0164
5688,Heidenheim,38,2,0.0127
5689,Heidenheim,1,2,0.0234
5690,Heidenheim,6,3,0.0148
5691,Heidenheim,9,3,0.0
5692,Heidenheim,11,3,0.0044
5693,Heidenheim,38,3,0.0015
5694,Heidenheim,1,3,0.0125
5695,Heidenheim,6,1,0.6483
5696,Heidenheim,9,1,0.3266
5697,Heidenheim,11,1,0.4309
5698,Heidenheim,38,1,0.1717
5699,Heidenheim,1,1,0.814
5700,Ostalbkreis,11,4,0.1842
5701,Ostalbkreis,1,4,0.3636
5702,Ostalbkreis,38,4,0.1033
5703,Ostalbkreis,9,2,0.2819
5704,Ostalbkreis,6,2,0.4891
5705,Ostalbkreis,11,2,0.4096
5706,Ostalbkreis,1,2,0.5598
5707,Ostalbkreis,38,2,0.2158
5708,Ostalbkreis,9,3,0.0704
5709,Ostalbkreis,6,3,0.1794
5710,Ostalbkreis,11,3,0.1134
5711,Ostalbkreis,1,3,0.2283
5712,Ostalbkreis,38,3,0.0455
5713,Ostalbkreis,9,1,0.2823
5714,Ostalbkreis,6,1,0.6047
5715,Ostalbkreis,11,1,0.4176
5716,Ostalbkreis,1,1,0.7805
5717,Ostalbkreis,38,1,0.1894
5718,Ostalbkreis,100,0,0.7766
5719,Ostalbkreis,100,4,0.3063
5720,Ostalbkreis,100,2,0.4991
5721,Ostalbkreis,100,3,0.1907
5722,Ostalbkreis,100,1,0.6588
5723,Ostalbkreis,9,0,0.4384
5724,Ostalbkreis,6,0,0.7589
5725,Ostalbkreis,11,0,0.6313
5726,Ostalbkreis,1,0,0.8728
5727,Ostalbkreis,38,0,0.3272
5728,Ostalbkreis,9,4,0.136
5729,Ostalbkreis,6,4,0.2762
5730,"Baden-Baden, Kreisfreie Stadt",100,0,0.6934
5731,"Baden-Baden, Kreisfreie Stadt",100,4,0.272
5732,"Baden-Baden, Kreisfreie Stadt",100,2,0.3538
5733,"Baden-Baden, Kreisfreie Stadt",100,3,0.1523
5734,"Baden-Baden, Kreisfreie Stadt",100,1,0.6062
5735,"Baden-Baden, Kreisfreie Stadt",11,0,0.6404
5736,"Baden-Baden, Kreisfreie Stadt",1,0,0.8697
5737,"Baden-Baden, Kreisfreie Stadt",6,0,0.7991
